wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
2A,RT,LL#1,"Monday, 08/25",Welcome to Career Rotation,,Welcome & What to Expect,Pre-Experience Self Reflection,
2A,RT,LL#2,"Wednesday, 08/27",Branding with Fresh Monster,,Branding / charity: water,Week 1 Project: Design a Landing Page for charity: water,
2A,RT,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
2A,RT,LL#4,"Wednesday, 09/03",Nomadiq's Travel Destinations  ,,Building a Website / charity: water ,Week 2 Project: Build a Landing Page for charity: water,
2A,RT,LL#5,"Monday, 09/08",Story Circles,,,,
2A,RT,LL#6,"Wednesday, 09/10",The National Park Service,,Analyzing Data / Intel,Week 3 Project: Sustainability Impact Analysis for Intel,
2A,RT,LL#7,"Monday, 09/15",What is a Data Analyst?,,,,
2A,RT,LL#8,"Wednesday, 09/17",Critiquing Visualizations,,Visualizing Data / Intel,Week 4 Project: Tell a Data Story for Intel's Sustainability Report & LevelUp: NYC Film Data Analysis (20pts Extra Credit),
2A,RT,LL#9,"Monday, 09/22",Your Future with AI,,Practical Gen AI Foundations,,
2A,RT,LL#10,"Wednesday, 09/24",Crafting Your AI Arsenal,,,Week 5 Project: AI and Your Future,
2A,RT,LL#11,"Monday, 09/29",LinkedIn Workshop,,,,
2A,RT,LL#12,"Wednesday, 10/01","Your brand, Your Story",,,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2A,RT,LL#1,"Monday, 10/06",Party Snaps: Ad Creatives,,Social Media Strategy / The Grammys,,
2A,RT,LL#2,"Wednesday, 10/08",What is a Digital Marketer,,,Project: Social Media Campaign & Analytics / The Grammys 🎵,
2A,RT,LL#3,"Monday, 10/13 SKIPPED FOR HOLIDAY!",HOLIDAY,,,Career Milestone: Job Qualifications Analysis,
2A,RT,LL#4,"Wednesday, 10/15",BuzzFeed: A/B Testing,,A/B Testing / The Grammys 🎵,Project: A/B Testing for The Grammys 🎵,
2A,RT,LL#5,"Monday, 10/20",Searching for New Audiences,,Get to Know SEMrush,,
2A,RT,LL#6,"Wednesday, 10/22",SEO with SEMrush,,,Get your Semrush Certificate!,
2A,RT,LL#7,"Monday, 10/27",Climb Together Workshop,,Search Engine Optimization (SEO) / L'Oréal ,,
2A,RT,LL#8,"Wednesday, 10/29",Bombas: SEO Keyword Trends & Meta Data,,,Project: SEO Optimized Content,
2A,RT,LL#9,"Monday, 11/03",User Experience and Prioritization ,,UX Research and Design / L'Oréal,Career Milestone: Is Your Resume Ready? Ask Bodhi!,
2A,RT,LL#10,"Wednesday, 11/05",Company Panel,,,Project: Skincare Confidence by Design,
2A,RT,LL#11,"Monday, 11/10",CareerReady Workshop,,Your Future Awaits,,
2A,RT,LL#12,"Wednesday, 11/12",Wrap Up + Reflections,,,Project: Apply and Reflect & Global Career Readiness - Self Reflection,
