wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1B,WD,LL#1,"Tuesday, 08/26",Welcome + Orientation,,Welcome & What To Expect,,
1B,WD,LL#2,"Thursday, 08/28",DevShop Onboarding Day,,Week 1: Web Development w/AI,,
1B,WD,LL#3,"Tuesday, 09/02",Story Circles,,Global SkillBuilder 1: Seeking Other Stories,,
1B,WD,LL#4,"Thursday, 09/04",Caffeinated Style Sheet,,Week 2: Build Your Portfolio Website,,
1B,WD,LL#5,"Tuesday, 09/09",What is a Web Developer / AMA ,,,,
1B,WD,LL#6,"Thursday, 09/11",Responsive Website,,Week 3: Intel / Responsive Design,,
1B,WD,LL#7,"Tuesday, 09/16",Building Better with Bootstrap,,LevelUp[Optional]: Coding Without AI Challenge,,
1B,WD,LL#8,"Thursday, 09/18",Why Accessibility Matters,,Week 4: Intel /Localization & Accessibility,,
1B,WD,LL#9,"Tuesday, 09/23",Skullcaps ,,Week 5: Intel / Adding Interactivity,,
1B,WD,LL#10,"Thursday, 09/25",The Power of Javascript,,,,
1B,WD,LL#11,"Tuesday, 09/30",LinkedIn Workshop,,Career Milestone #2: Optimize your LinkedIn Profile,,
1B,WD,LL#12,"Thursday, 10/02",From Sketch to Basic Prototype,,Week 6: charity: water / User Experience,,
1B,WD,LL#1,"Thursday, 10/16",Working Game Prototype,,,,
1B,WD,LL#2,"Tuesday, 10/21",JavaScript - No AI,,,,
1B,WD,LL#3,"Thursday, 10/23",LoopCraft: Debugging for Lantana,,,,
1B,WD,LL#4,"Tuesday, 10/28", The DOM ,,,,
1B,WD,LL#5,"Thursday, 10/30",FETCH Quest,,,,
1B,WD,LL#6,"Tuesday, 11/04",Meal DB,,,,
1B,WD,LL#7,"Thursday, 11/06",Feedback in the Workplace Workshop,,,,
1B,WD,LL#8,"Tuesday, 11/11 SKIPPED FOR HOLIDAY!",,,,,"A recording of LL#8: Why Accessibility Matters, is uploaded to your media gallery for your review."
1B,WD,LL#9,"Thursday, 11/13",WayChat + Waymark,,,,
1B,WD,LL#10,"Tuesday, 11/18",API Mashup: OpenAI 🤝 MealDB,,,,
1B,WD,LL#11,"Thursday, 11/20",CareerReady Workshop,,,,
1B,WD,LL#12,"Tuesday, 11/25",Wrap Up + Reflections,,,,
