wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1A,WD,LL#1,"Monday, 08/25",Welcome + Orientation,,Welcome & What To Expect,Pre-Experience Self Reflection,
1A,WD,LL#2,"Wednesday, 08/27",Dev Shop Onboarding Day,,Week 1: Web Development w/AI,Access your GitHub Student Developer Pack,
1A,WD,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,LiveLab 4 - Caffeinated Style Sheet recording will be added to your Media gallery on September 4th. Please review the lab for a deep dive into CSS.
1A,WD,LL#4,"Wednesday, 09/03",Story Circles,,Global SkillBuilder 1: Seeking Other Stories,,
1A,WD,LL#5,"Monday, 09/08",What is a Web Developer / AMA ,,Week 2: Build Your Portfolio Website,,
1A,WD,LL#6,"Wednesday, 09/10",Responsive Website,,Week 3: Intel / Responsive Design,,
1A,WD,LL#7,"Monday, 09/15",Building Better with Bootstrap,,LevelUp[Optional]: Coding Without AI Challenge,,
1A,WD,LL#8,"Wednesday, 09/17",Why Accessibility Matters,,Week 4: Intel /Localization & Accessibility,,
1A,WD,LL#9,"Monday, 09/22",Skullcaps ,,Week 5: Intel / Adding Interactivity,,
1A,WD,LL#10,"Wednesday, 09/24",The Power of Javascript,,,,
1A,WD,LL#11,"Monday, 09/29",LinkedIn Workshop,,Career Milestone #2: Optimize your LinkedIn Profile,,
1A,WD,LL#12,"Wednesday, 10/01",From Sketch to Basic Prototype,,Week 6: charity: water / User Experience,,
1A,WD,LL#1,"Wednesday, 10/15",Working Game Prototype,,,,
1A,WD,LL#2,"Monday, 10/20",JavaScript - No AI,,,,
1A,WD,LL#3,"Wednesday, 10/22",LoopCraft: Debugging for Lantana,,,,
1A,WD,LL#4,"Monday, 10/27", The DOM ,,,,
1A,WD,LL#5,"Wednesday, 10/29",FETCH Quest,,,,
1A,WD,LL#6,"Monday, 11/03",Meal DB,,,,
1A,WD,LL#7,"Wednesday, 11/05",Feedback in the Workplace Workshop,,,,
1A,WD,LL#8,"Monday, 11/10",NextSpace  ,,,,
1A,WD,LL#9,"Wednesday, 11/12",WayChat + Waymark,,,,
1A,WD,LL#10,"Monday, 11/17",API Mashup: OpenAI 🤝 MealDB,,,,
1A,WD,LL#11,"Wednesday, 11/19",CareerReady Workshop,,,,
1A,WD,LL#12,"Monday, 11/24",Wrap Up + Reflections,,,,
