wave_section,track,LL_num,date,livelab_title,livelab_lesson_plan,videos_watch_by,assignment_due_after,notes
1A,DM,LL#1,"Monday, 08/25",Welcome to the Global Career Accelerator,,The Welcome & What To Expect,Pre-Experience Self Reflection,
1A,DM,LL#2,"Wednesday, 08/27",Intro to eCommerce,,Skillbuilder 1,Milestone 1 & Setup Your Shopify Store ,
1A,DM,LL#3,"Monday, 09/01 SKIPPED FOR HOLIDAY!",HOLIDAY,,,,
1A,DM,LL#4,"Wednesday, 09/03",Story Circles,,Global Skillbuilder: Seeking Other Stories,Career Milestone 1,
1A,DM,LL#5,"Monday, 09/08",Design and Build A Website,,Skillbuilder 2,Milestone 2,
1A,DM,LL#6,"Wednesday, 09/10",Brand Voice & Visuals,,Skillbuilder 3 & Skillbuilder 4,Milestone 3/4 & Get Your Semrush Certificate ,
1A,DM,LL#7,"Monday, 09/15",SEO Keyword Research,,Skillbuilder 5 + SEMrush Setup & Certificate,Milestone 5,
1A,DM,LL#8,"Wednesday, 09/17",SEO Meta Data,,Skillbuilder 6,Milestone 6 & Meta Ads Setup,
1A,DM,LL#9,"Monday, 09/22",Conversation Rate Optimization,,Skillbuilder 7,Milestone 7 ,
1A,DM,LL#10,"Wednesday, 09/24",Offers & Promos / AB Testing,,Skillbuilder 8 Skillbuilder 9,Milestone 8/9,
1A,DM,LL#11,"Monday, 09/29",Career Session: LinkedIn,,Skillbuilder 10: Emails for eCommerce,Career Milestone 2 & Milestone 10 ,
1A,DM,LL#12,"Wednesday, 10/01",Portfolio Work Day,,,Portfolio Project,
1A,DM,LL#1,"Wednesday, 10/15",Social Media Strategy,,SkillBuilder 1: Social Media Strategy,Milestone 1: Go Organic,
1A,DM,LL#2,"Monday, 10/20",UGC with AI,,SkillBuilder 2: User-Generated Content,Milestone 2: Do It For the Gram & Career Milestone: Job Qualifications Analysis,
1A,DM,LL#3,"Wednesday, 10/22",Working w/ Influencers,,SkillBuilder 3: Influencer Marketing,Milestone 3: Creator Curator,
1A,DM,LL#4,"Monday, 10/27",Paid Social: Campaigns Objectives and Targeting,,SkillBuilder 4: Paid Social - Campaigns & Objectives & SkillBuilder 5: Ad Groups & Targeting,Milestone 4 & 5: But First Objectives and Targeting,
1A,DM,LL#5,"Wednesday, 10/29",Paid Social: Ads & Placements,,SkillBuilder 6: Paid Social - Ads & Placements,Milestone 6: Let's Add Ads! & Career Milestone: Is Your Resume Ready? Ask Bodhi!,
1A,DM,LL#6,"Monday, 11/03",Campaign Analysis & Optimization,,SkillBuilder 7: Campaign Analytics & Optimization,Milestone 7: Reporting For Duty!,
1A,DM,LL#7,"Wednesday, 11/05",Climb Together Workshop,,,,
1A,DM,LL#8,"Monday, 11/10",Paid Search: Keyword Strategy & Copywriting,,SkillBuilder 8: Paid Search - Campaign Structure & KPIs & SkillBuilder 9: Paid Search - Copywriting & Optimization,Milestone 8 & 9: Search Party,
1A,DM,LL#9,"Wednesday, 11/12",Charity: water - Activating The Next Generation of Supporters,,SkillBuilder 10: Marketing to Existing Customers,Milestone 10: Groupie Time!,
1A,DM,LL#10,"Monday, 11/17",Mukti’s Kitchen LiveLab,,Portfolio Project,Global Career Readiness - Self Reflection & Career Milestone: Apply to a Job or Internship,
1A,DM,LL#11,"Wednesday, 11/19",Career Ready Workshop,,Your Future Awaits!,,
1A,DM,LL#12,"Monday, 11/24",Portfolio Project & What’s Next,,,Submit Your Charity Water Portfolio Project,
